,package,description,category
12,,"['welcome', 'best', 'exercise', 'related', 'pilate', 'age', 'competition', 'important', 'learn', 'pilate', 'exercise', 'learn', 'pilate', 'exercise', 'time', 'pilate', 'reformer', 'best', 'tool', 'increase', 'physical', 'strength', 'pilate', 'machine', 'mat', 'used', 'body', 'workout', 'equipment', 'pilate', 'ring', 'provided', 'good', 'lot', 'learn', 'pilate', 'exercise', 'pilate', 'exercise', 'course', 'easily', 'master', 'language', 'age', 'technology', 'important', 'learn', 'speak', 'pilate', 'exercise', 'learn', 'pilate', 'exercise', 'online', 'learn', 'program', 'example', 'pilate', 'exercise', 'beginner', 'learn', 'speak', 'pilate', 'exercise', 'survive', 'today', 'global', 'field', 'easily', 'learn', 'pilate', 'exercise', 'start', 'using', 'knowledge', 'provided', 'easily', 'learn', 'speak', 'pilate', 'exercise', 'learn', 'language', 'within', 'matter', 'day', 'learn', 'speak', 'proper', 'pilate', 'exercise', 'survive', 'today', 'world', 'easily', 'learn', 'pilate', 'exercise', 'online', 'start', 'using', 'pilate', 'exercise', 'beginner', 'main', 'focus', 'built', 'huge', 'collection', 'pilate', 'exercise', 'pilate', 'exercise', 'explained', 'easily', 'share', 'pilate', 'exercise', 'friend', 'social', 'medium', 'network', 'first', 'thing', 'required', 'learn', 'learn', 'speak', 'pilate', 'exercise', 'important', 'learn', 'pilate', 'exercise', 'today', 'world', 'spurt', 'pilate', 'exercise', 'speaking', 'course', 'market', 'assume', 'demand', 'code', 'pretty', 'high', 'various', 'online', 'pilate', 'exercise', 'course', 'first', 'thing', 'required', 'learn', 'learn', 'speak', 'pilate', 'exercise', 'go', 'anywhere', 'else', 'learn', 'pilate', 'exercise', 'easily', 'online', 'using', 'beginner', 'pilate', 'exercise', 'coding', 'beginner', 'highly', 'appreciate', 'feedback', 'user', 'hope', 'used', 'please', 'give', 'rating', 'also', 'give', 'u', 'valuable', 'feedback', 'enjoy']",Health & fitness
16,,"['ready', 'add', 'calm', 'daily', 'environment', 'access', 'hour', 'world-class', '1080p', 'hd', 'nature', 'relaxation', 'on-demand™', 'video', 'david', 'huting', 'without', 'watermark', 'ad', 'easily', 'back', 'continuously', 'selecting', 'choice', 'playlist', 'totaling', 'hour', 'nature', 'relaxation', 'video']",Health & fitness
26,,"['informative', 'urgent', 'care', 'westmont', 'service', 'offer', 'open', 'daily', '10a', '10pm']",Health & fitness
30,,"['gharelu', 'upchar', 'ayurvedic', 'nuske', 'gujarati', 'gharelu', 'upchar', 'ayurvedic', 'nuske', 'gujarati', 'indian', 'home', 'remedy', 'common', 'problem', 'individual', 'daily', 'life', 'problem', 'diabetes', 'arthritis', 'stress', 'migraine', 'high', 'blood', 'pressure', 'skin', 'disease', 'asthma', 'spondylitis', 'obesity', 'sexual', 'disorder', 'among', 'others', 'remedy', 'suggested', 'ancestor', 'currently', 'used', 'ayurvedic', 'gharelu', 'upchar', 'home', 'remedy', 'great', 'collection', 'best', 'known', 'remedy', 'disease', 'ayurveda', 'become', 'important', 'role', 'day', 'day', 'life', 'best', 'part', 'side', 'effect', 'come', 'gharelu', 'ilaj', 'ayurveda', 'mean', 'cure', 'disease', 'home', 'remedy', 'natural', 'beauty', 'tip', 'health', 'tip', 'given', 'also', 'used', 'belly', 'remover', 'medical', 'fulfillment', 'best', 'done', 'also', 'help', 'remove', 'common', 'disease', 'small', 'baby', 'day', 'due', 'lack', 'time', 'busy', 'schedule', 'unfortunately', 'taking', 'junk', 'food', 'regularly', 'hence', 'health', 'going', 'uneven', 'regularly', 'visit', 'family', 'doctor', 'due', 'overuse', 'toxic', 'spraying', 'crop', 'production', 'overuse', 'food', 'preservative', 'food-borne', 'mixing', 'overuse', 'food', 'color/essence', 'lack', 'cleanliness', 'etc', 'reason', 'health', 'problem', 'invite', 'various', 'type', 'disease', 'find', 'solution', 'almost', 'everything', 'right', 'increased', 'stress', 'pollution', 'make', 'sure', 'health', 'beauty', 'wellness', 'taken', 'care', 'head', 'toe', 'easy', 'follow', 'ayurvedic', 'remedy', 'hindi', 'hold', 'age', 'old', 'secret', 'indian', 'medicine', 'treat', 'almost', 'ailment', 'find', 'home', 'remedy', 'itchy', 'scalp', 'many', 'way', 'treat', 'itchy', 'scalp', 'without', 'spending', 'lot', 'money', 'goal', 'ayurved', 'prevention', 'well', 'promotion', 'body', 'capacity', 'maintenance', 'balance.ayurvedic', 'treatment', 'non-invasive', 'non-toxic', 'used', 'safely', 'alternative', 'therapy', 'survive', 'good', 'health', 'condition', 'introduce', 'mobile', 'definitely', 'cure', 'many', 'disease', 'home', 'remedy', 'solution', 'represented', 'single', 'disease', 'disease', 'depends', 'context', 'patient', 'try', 'remedy', 'given', 'harmless', 'natural', 'overall', 'using', 'also', 'helpful', 'others', 'many', 'disease', 'best', 'feature', 'select', 'favorite', 'ayurvedic', 'tip', 'either', 'bookmark', 'add', 'favorite', 'forget', 'give', 'feedback', 'pls', 'give', 'rating']",Health & fitness
48,,"['therapy', 'total', 'knee', 'leaving', 'everything', 'believed', 'total', 'knee', 'replacement', 'past', 'dr.', 'wickline', 'currently', 'joint', 'surgeon', 'state', 'york', 'team', 'personally', 'seen', 'improvement', 'personal', 'home', 'exercise', 'made', 'patient', 'forget', 'physical', 'therapy', 'copays', 'pain', 'access', 'simple', 'home', 'exercise', 'also', 'see', 'example', 'knee', 'look', 'throughout', 'recovery', 'provides', 'tool', 'better', 'faster']",Health & fitness
78,,"['chronic', 'disease-', 'symptom', 'problem', 'treatment', 'contains', 'information', 'related', 'health', 'problem', 'related', 'heart', 'disease', 'well', 'explained', 'solution', 'given', 'detail', 'tip', 'hindi', 'hence', 'easy', 'follow', 'stay', 'abreast', 'latest', 'definition', 'chronic', 'disease', 'treat', 'accordingly', 'chronic', 'disease', 'symptom', 'treatment', 'anemia', 'chronic', 'disease', 'symptom', 'diagnosis', 'treatment', 'top', 'cause', 'chronic', 'pain', 'treatment', 'chronic', 'pain', 'chronic', 'fatigue', 'syndrome', 'cause', 'symptom', 'treatment', 'treatment', 'chronic', 'kidney', 'disease', 'chronic', 'fatigue', 'syndrome', 'chronic', 'kidney', 'disease', 'stage', 'symptom', 'chronic', 'kidney', 'disease', 'symptom', 'treatment', 'chronic', 'disease', 'definition', 'chronic', 'illness', 'quote', 'chronic', 'fatigue', 'syndrome', 'treatment', 'chronic', 'fatigue', 'syndrome', 'vertaling', 'chronic', 'disease', 'list', 'myalgic', 'encephalomyelitis', 'chronic', 'fatigue', 'syndrome', 'test', 'chronic', 'liver', 'disease/cirrhosis', 'chronic', 'renal', 'failure', 'cause', 'symptom', 'treatment', 'diagnosis', 'stage', 'chronic', 'kidney', 'disease', 'anemia', 'inflammation', 'cause', 'symptom', 'treatment', 'diagnosis', 'chronic', 'disease', 'common', 'risk', 'factor', 'anemia', 'chronic', 'disease', 'renal', 'failure', 'preventing', 'chronic', 'disease', 'cause', 'stage', 'life', 'option', 'chronic', 'fatigue', 'syndrome', 'treatment', 'chronic', 'disease', 'list', 'myalgic', 'encephalomyelitis', 'chronic', 'fatigue', 'syndrome', 'test', 'chronic', 'disease', 'symptom', 'treatment', 'tip', 'hindi', 'hence', 'easy', 'follow', 'forget', 'give', 'feedback', 'pls', 'give', 'rating']",Health & fitness
79,,"['bimari', 'ke', 'lakshna', 'aur', 'upchar-', 'hindi', 'disease', 'symptom', 'solutions-', 'bimari', 'lakshna', 'aur', 'upchar', 'contains', 'various', 'disease', 'symptom', 'treatment', 'learn', 'disease', 'medical', 'condition', 'test', 'relate', 'drug', 'medication', 'help', 'u', 'easily', 'identify', 'disease', 'symptom', 'give', 'treatment', 'also', 'explains', 'precaution', 'take', 'provides', 'various', 'nuske', 'remedy', 'rid', 'disease', 'treat', 'disease', 'thyroid', 'influenza', 'etc', 'disease', 'ayurvedic', 'treatment', 'healthy', 'life', 'ayurvedic', 'medicine', 'natural', 'beauty', 'therapy', 'ayurved', 'living', 'stay', 'healthy', 'doctor', 'small', 'disease', 'bimari', 'ke', 'upchar', 'help', 'doctor', 'would', 'think', 'sickness', 'disease', 'easily', 'know', 'guide', 'different', 'illness', 'hindi', 'conclusion', 'cure', 'side', 'effect', 'treatment', 'bimari', 'ke', 'upchar', 'solution', 'different', 'disease', 'pet', 'dard', 'sir', 'dard', 'khasi', 'bukhar', 'jhukham', 'madhumeh', 'diabetes', 'many', 'important', 'thing', 'description', 'hindi', 'language', 'hence', 'easily', 'follow', 'tip', 'mentioned', 'prove', 'beneficial', 'family.do', 'remember', 'share', 'friend', 'let', 'others', 'know', 'forget', 'give', 'feedback', 'please', 'give', 'rating']",Health & fitness
99,,"['hair', 'growing', 'tip', 'बाल', 'बढ़ाने', 'के', 'उपाय', 'grow', 'hair', 'faster', 'longer', 'stronger', 'cover', 'topic', 'long', 'hair', 'tip', 'grow', 'hair', 'faster', 'hair', 'fall', 'solution', 'stop', 'hair', 'fall', 'hair', 'fall', 'control', 'hair', 'restoration', 'thick', 'hair', 'hair', 'care', 'tip', 'stop', 'hair', 'loss', 'hair', 'doctor', 'home', 'remedy', 'hair', 'fall', 'hair', 'care', 'home', 'remedy', 'hair', 'growth', 'make', 'hair', 'grow', 'faster', 'lot', 'hair', 'growth', 'tip', 'find', 'best', 'tip', 'change', 'life']",Health & fitness
125,,"['aerobic', 'exercise', 'workout', 'guide-', 'book', 'beginner', 'fun', 'beginner', 'dance', 'workout', 'weight', 'loss', 'home', 'cardio', 'aerobics', 'beginner', 'minute', 'fitness', 'routine', 'fat', 'burning', 'basic', 'aerobics', 'cardio', 'exercise', 'training', 'beginner', 'aerobics', 'video', 'beginner', 'nh', 'fitness', 'studio', '30-minute', 'beginner', 'workout', 'start', 'exercising', 'safely', 'weight', 'loss', 'minute', 'cardio', 'workout', 'home', 'beginner', 'aerobics', 'exercise', 'beginner', 'cardio', 'burn', 'fat', 'best', 'exercise', 'video', 'beginner', 'low', 'impact', 'cardio', 'workout', 'beginner', 'aerobic', 'dance', 'workout', 'aerobics', 'choreografie', 'aerobic', 'zwemmen', 'aerobics', 'step', 'step', 'aerobics', 'beginner', 'cardio', 'exercise', 'bodyweight', 'cardio', 'move', 'way', 'build', 'best', 'cardio', 'workout', 'easy', 'aerobics', 'dvd', 'beginner', 'cardio', 'exercise', 'quick', 'hiit', 'workout', 'beginner', 'best', 'type', 'aerobic', 'exercise', 'beginner', 'tip', 'safe', 'cardio', 'exercising', 'best', 'cardio', 'exercise', 'beginner', 'beginning', 'cardio', 'training', 'aerobics', 'step', 'hindi', 'aerobic', 'exercise', 'beginner', 'forget', 'give', 'feedback', 'pls', 'give', 'rating']",Health & fitness
137,,"['input', 'height', 'cm', 'weight', 'kg', 'bmi', 'test', 'brutally', 'honest', 'answer']",Health & fitness
