,package,description,category
302,,"['underline', 'individuality', 'sticker.az', 'provides', 'user', 'easy', 'search', 'sticker', 'ability', 'compare', 'price', 'read', 'review', 'post', 'comment', 'product', 'course', 'shop', 'sticker.az', 'quickly', 'easily']",Shopping
344,,"['interface', 'store', 'run', 'estream', 'system', 'point', 'sale', 'system', 'provide', 'mobile', 'ecommerce', 'customer', 'loyalty', 'following', 'barcoded', 'display', 'allows', 'faster', 'service', 'checkout', 'customer', 'manage', 'account', 'detail', 'loyalty', 'point', 'loyalty', 'account', 'balance', 'shown', 'purchase', 'receipt', 'item', 'level', 'history', 'available', 'date', 'range', 'favourite', 'item', 'list', 'maintained', 'promo', 'flyer', 'event', 'browsed', 'online', 'optional', 'online', 'pickup/delivery', 'online', 'account', 'payment', 'full', 'item', 'database', 'search', 'description', 'available', 'showing', 'pricing', 'stock', 'hand', 'detail', 'price', 'checker', 'built', 'barcode', 'read', 'device', 'camera']",Shopping
359,,"['cuckoo4coupons', 'allows', 'easily', 'browse', 'current', 'in-store', 'deal', 'online', 'discount', 'freebie', 'coupon', 'giveaway', 'posted', 'cuckooforcoupondeals.com', 'receive', 'hot', 'deal', 'alert', 'never', 'miss', 'hottest', 'deal', 'freebie', 'coupon', 'download', 'click', 'main', 'menu', 'click', 'weekly', 'contest', 'entered', 'win', 'amazon', 'card', 'contest', 'start', 'every', 'sunday', 'run', 'day', 'enter', 'week', 'winner', 'announced', 'right', 'download', 'cuckoo4coupons', 'never', 'miss', 'deal', 'visit', 'u', '//cuckoo4coupons.com', '//facebook.com/cuckooforcoupondeals', '//twitter.com/cuckoofordeals', 'cuckoo', 'coupon']",Shopping
600,,"['application', 'imagine', 'unique', 'ivodka', 'using', 'choose', 'type', 'vodka', 'percentage', 'added', 'fruit', 'decided', 'create', 'fruit', 'vodka', 'percentage', 'added', 'sugar', 'viscosity', 'drink', 'percent', 'fusel', 'oil', 'type', 'water', 'way', 'purification', 'ivodka', 'make', 'unique', 'drink', 'attention', 'application', 'showroom', 'private', 'factory', 'produce', 'deliver', 'product', 'shown', 'application', 'application', 'show', 'user', 'application', 'facility', 'private', 'factory', 'downloading', 'state', 'age', 'attention']",Shopping
606,,"['discover', 'huge', 'range', 'quality', 'product', 'professional', 'salon', 'equipment', 'nail', 'care', 'maiwell', 'access', 'online', 'shop', 'anywhere', 'anytime', 'order', 'desired', 'product', 'conveniently', 'smartphone', 'tablet', 'great', 'selection', 'includes', 'numerous', 'acrylic', 'gel', 'system', 'reputable', 'manufacturer', 'well', 'variety', 'equipment', 'furniture', 'professional', 'visually', 'appealing', 'establishment', 'qualified', 'studio', 'offer', 'among', 'others', 'salon', 'counter', 'manicure', 'working', 'chair', 'spa', 'pedikürstühle', 'curing', 'unit', 'milling', 'cutter', 'accessory', 'dust', 'extraction', 'acrylic', 'powder', 'modeling', 'fluid', 'gel', 'different', 'color', 'striking', 'nail', 'art', 'unique', 'nail', 'design', 'nail', 'file', 'buffer', 'brush', 'tweezer', 'tip', 'etc', 'peeling', 'cream', 'lotion', 'accessory', 'professional', 'eyelash', 'extension', 'disinfectant', 'protection', 'mouth', 'hand', 'much', 'order', 'easily', 'placed', 'maiwell', 'experience', 'diversity', 'online', 'shop', 'mobile', 'version']",Shopping
788,,"['welcome', 'kohl', 'microsoft', 'window', 'built', 'around', 'experience']",Shopping
865,,"['aliexpress', 'online', 'shopping', 'marketplace', 'fingertip', 'million', 'people', 'around', 'world', 'found', 'favorite', 'item', 'u', 'perhaps', 'neighbor', 'friend', 'already', 'fallen', 'love', 'shopping', 'aliexpress']",Shopping
1142,,"['go', 'shop', 'fave', 'look', 'straight', 'phone', 'hello', 'instant', 'pink', 'fix']",Shopping
1275,,"['best', 'coupon', 'window', 'phone', 'one-stop', 'shop', 'saving', 'coupon', 'always', 'fingertip', 'everywhere', 'go', 'find', 'high-value', 'coupon', 'discount', 'code', 'deal', 'discount', 'type', 'purchase', 'online', 'store', 'printable', 'coupon', 'simply', 'download', 'saved', 'picture', 'album', 'phone', 'computer', 'print', 'show', 'phone', 'redeem', 'in-store', 'coupon', 'offer', 'continually', 'added', 'refreshed', 'work', 'tirelessly', 'find', 'best', 'online', 'deal', 'well', 'top-value', 'coupon', 'everything', 'favorite', 'store', 'restaurant', 'check', 'back', 'daily', 'deal']",Shopping
1306,,"['phiên', 'bản', 'ứng', 'dụng', 'chính', 'thức', 'trên', 'windowsphone', 'của', 'công', 'ty', 'cổ', 'phần', 'thế', 'giới', 'di', 'động', 'www.thegioididong.com', 'ứng', 'dụng', 'này', 'giúp', 'cho', 'chúng', 'ta', 'dễ', 'dàng', 'cập', 'nhật', 'tìm', 'kiếm', 'chia', 'sẻ', 'thông', 'tin', 'công', 'nghệ', 'trên', 'thị', 'trường', 'một', 'cách', 'nhanh', 'nhất', 'mọi', 'lúc', 'mọi', 'nơi', 'cơ', 'hội', 'trải', 'nghiệm', 'mua', 'sắm', 'sản', 'phẩm', 'công', 'nghệ', 'điện', 'thoại', 'máy', 'tính', 'bảng', 'laptop', 'phụ', 'kiện', 'với', 'mức', 'giá', 'tốt', 'nhất', 'để', 'phục', 'vụ', 'cuộc', 'sống', 'và', 'công', 'việc', 'hằng', 'ngày', 'đặc', 'biệt', 'chỉ', 'vài', 'click', 'chuột', 'sản', 'phẩm', 'sẽ', 'được', 'giao', 'tận', 'nơi', 'với', 'dịch', 'vụ', 'chăm', 'sóc', 'khách', 'hàng', 'chuyên', 'nghiệp', 'nhất', 'việt', 'nam', 'chức', 'năng', 'chính', 'khách', 'hàng', 'có', 'thể', 'trải', 'nghiệm', 'mua', 'sắm', 'sản', 'phẩm', 'công', 'nghệ', 'với', 'giá', 'tốt', 'dịch', 'vụ', 'chuyên', 'nghiệp', 'hàng', 'hoá', 'sẽ', 'được', 'giao', 'tận', 'tay', 'miễn', 'phí', 'cập', 'nhật', 'thông', 'tin', 'công', 'nghệ', 'mới', 'nhất', 'nhanh', 'nhất', 'bạn', 'có', 'thể', 'nghe', 'và', 'tải', 'nhạc', 'bản', 'quyền', 'chất', 'lượng', 'cao', 'ngay', 'trên', 'ứng', 'dụng', 'này', 'mà', 'không', 'cần', 'phải', 'mở', 'thêm', 'ứng', 'dụng', 'khác', 'cập', 'nhật', 'các', 'và', 'các', 'ứng', 'dụng', 'hot', 'đang', 'được', 'yêu', 'thích']",Shopping
